# XCALGSE - LINE COMPLEX
#
# NAME: Cu_Ka8lor_Mendenhall
# Z: 29
# ELOW: 7988.000000
# EHIGH: 8095.000000
#
# J Phys B 50, 115004 (2017)
#
#! Energy (eV)        Width (eV)        Amplitude
   8047.8254          2.275000          1.000000  
   8045.2956          2.915000          0.094600  
   8028.0503          2.529000          0.352000  
   8026.5386          3.274000          0.134000  
   8078.6274          5.510000          0.001620  
   8083.3528          5.510000          0.001920  
   8074.9536          3.220000          0.000289  
   8088.1086          3.220000          0.000614  
