# XCALGSE - LINE COMPLEX
#
# NAME: Y_Ka2lor
# Z: 39
# ELOW: 14813.000000
# EHIGH: 15038.000000
#
# Positions from Bearden Rev. Modern Physics 39, 1967, p78
# 2 Lorentzian model (widths) from M. O. Krause and J. H. Oliver
# J. Phys. Chem. Ref. Data, Vol 8, No 2, 1979, p329
# Relative intensities from Scofield, Atomic Data and Nuclear Data Tables14,121(1974)
# checked by FSP 2018/10/13
#
#! Energy (eV)        Width (eV)        Amplitude
   14958.54           5.020000          1.000000  
   14882.94           5.180000          0.521836  
